Taxonomy,Method,Citation_Key,Reproduced,Setup,Bottle,Cable,Capsule,Carpet,Grid,Hazelnut,Leather,Metal_Nut,Pill,Screw,Tile,Toothbrush,Transistor,Wood,Zipper,Mean
Distance-based,GraphCore,xie2023PLFAD,FALSE,8-shot,,,,,,,,,,,,,,,,95.90
Distance-based,PatchCore,roth2022TTRIAD,TRUE,1-shot,99.76,82.98,70.64,98.76,63.41,90.21,100.00,61.09,85.46,49.58,99.31,88.33,79.67,98.68,96.11,84.27
Distance-based,PatchCore,roth2022TTRIAD,TRUE,2-shot,99.52,91.62,78.30,98.48,59.48,88.89,100.00,90.62,89.85,47.63,98.99,89.17,86.92,98.16,96.90,87.64
Distance-based,PatchCore,roth2022TTRIAD,TRUE,5-shot,99.68,94.12,83.25,99.08,74.02,96.39,100.00,97.21,89.99,47.49,99.68,89.44,83.96,98.16,97.45,89.99
Distance-based,PatchCore,roth2022TTRIAD,TRUE,10-shot,100.00,95.41,82.25,99.00,80.87,98.25,100.00,98.78,91.63,68.68,98.99,100.00,99.46,98.16,98.40,93.99
Distance-based,PatchCore,roth2022TTRIAD,TRUE,16-shot,100.00,94.55,91.70,98.72,82.87,98.71,100.00,99.17,92.61,70.34,98.92,100.00,98.67,98.60,99.26,94.94
Distance-based,PatchCore,roth2022TTRIAD,TRUE,20-shot,100.00,96.29,91.66,98.56,93.57,99.46,100.00,99.12,92.28,71.16,99.28,100.00,98.50,98.51,99.11,95.83
Distance-based,PatchCore,roth2022TTRIAD,TRUE,50-shot,100.00,97.84,97.57,98.60,94.40,100.00,100.00,99.61,94.57,82.11,99.10,100.00,99.67,98.60,99.34,97.43
Distance-based,FewSOME,belton2023FEWSOME,FALSE,60-shot,,,,,,,,,,,,,,,,84.70
VLM-based,WinCLIP,jeong2023WINCLIP,FALSE,0-shot,99.20 ± 0.00,86.50 ± 0.00,72.90 ± 0.00,100.00 ± 0.00,98.80 ± 0.00,93.90 ± 0.00,100.00 ± 0.00,97.10 ± 0.00,79.10 ± 0.00,83.30 ± 0.00,100.00 ± 0.00,87.50 ± 0.00,88.00 ± 0.00,99.40 ± 0.00,91.50 ± 0.00,91.80 ± 0.00
